"word","forms"
"νεανίων","gen pl mas"
"χρόνοι","voc pl mas"
"ἄνθρωπον","acc sg mas"
"λόγος","nom sg mas"
"κώμης","gen sg fem"
"πατρίδα","acc sg fem"
"φύλακα","acc sg mas"
"ἄρχοντα","acc sg mas"
"ποταμῷ","dat sg mas"
"ἄνδρα","acc sg mas"
"θεᾷ","dat sg fem"
"ξένῳ","dat sg mas"
"θαλαττῶν","gen pl fem"
"νεανίαν","acc sg mas"
"γυναῖκα","acc sg fem"
"Ἕλληνι","dat sg mas"
"δίκας","acc pl fem"
"πυρί","dat sg neu"
"ἵππῳ","dat sg mas"
"παῖδα","acc sg mas"
"Ἕλληνας","acc pl mas"
"τιμαί","voc pl fem"
"Ἐλλάς","voc sg fem"
"ἀνδρῶν","gen pl mas"
"τιμή","voc sg fem"
"ἄρχοντων","gen pl mas"
"ποδός","gen sg mas"
"φίλου","gen sg mas"
"ἵπποι","voc pl mas"
"ἄρχουσι","dat pl mas"
"n/a","voc sg fem"
"βάρβαρος","nom sg mas"
"δῶρα","voc pl neu"
"πυρῶν","gen pl neu"
"θάλατταν","acc sg fem"
"καμήλοις","dat pl mas"
"πυρά","voc pl neu"
"ἵππων","gen pl mas"
"οἰκίας","acc pl fem"
"ἡμέρας","acc pl fem"
"ὑδάτων","gen pl neu"
"παῖδας","acc pl mas"
"χρόνους","acc pl mas"
"βαρβάρου","gen sg mas"
"μήτηρ","nom sg fem"
"ὁδοί","voc pl fem"
"βίους","acc pl mas"
"κώμην","acc sg fem"
"φυλάκων","gen pl mas"
"πατήρ","nom sg mas"
"ξένων","gen pl mas"
"γυναικός","gen sg fem"
"τέκνοις","dat pl neu"
"ποταμός","nom sg mas"
"πράγματι","dat sg neu"
"μητέρων","gen pl fem"
"ποιητοῦ","gen sg mas"
"χώραις","dat pl fem"
"νὺξ","nom sg fem"
"Ἑλλάδες","voc pl fem"
"ἵππε","voc sg mas"
"ἄνθρωποι","voc pl mas"
"ἄνδρας","acc pl mas"
"ὕδασι","dat pl neu"
"ἡμέραν","acc sg fem"
"Ἕλληνα","acc sg mas"
"θεᾶς","gen sg fem"
"ποιηταί","voc pl mas"
"ἔργῳ","dat sg neu"
"ποῦ","voc sg mas"
"πράγμασι","dat pl neu"
"Πέρσης","nom sg mas"
"ἡγεμόσιν","dat pl mas"
"πόδες","voc pl mas"
"ξένον","acc sg mas"
"χώρᾳ","dat sg fem"
"βάρβαρε","voc sg mas"
"φύλαξι","dat pl mas"
"ἵπποις","dat pl mas"
"θανάτοις","dat pl mas"
"κώμῃ","dat sg fem"
"ἵππον","acc sg mas"
"δίκῃ","dat sg fem"
"ἀδελφῷ","dat sg mas"
"φίλους","acc pl mas"
"βίου","gen sg mas"
"πατρίδας","acc pl fem"
"βίον","acc sg mas"
"φύλακας","acc pl mas"
"Ἀθῆναι","voc pl fem"
"βαρβάρους","acc pl mas"
"ἀνθρώπους","acc pl mas"
"νυξί(ν)","dat pl fem"
"τέκνα","voc pl neu"
"στρατηγόν","acc sg mas"
"φίλῳ","dat sg mas"
"σταδίου","gen sg neu"
"δῶρον","voc sg neu"
"χωρῶν","gen pl fem"
"ποιητῶν","gen pl mas"
"ἡγεμόνας","acc pl mas"
"χῶραι","voc pl fem"
"βαρβάρῳ","dat sg mas"
"χρόνος","nom sg mas"
"δίκη","voc sg fem"
"μητέρα","acc sg fem"
"θεαί","voc pl fem"
"θεόν","acc sg mas"
"ἄρχοντος","gen sg mas"
"δίκης","gen sg fem"
"ὕδατα","voc pl neu"
"ὁδῷ","dat sg fem"
"ὕδωρ","voc sg neu"
"ἀνερ","voc sg mas"
"δίκαις","dat pl fem"
"παιδί","dat sg mas"
"τιμήν","acc sg fem"
"νεανίου","gen sg mas"
"ὁδῶν","gen pl fem"
"κῆρυκα","acc sg mas"
"τέκνον","voc sg neu"
"θάλατται","voc pl fem"
"φίλε","voc sg mas"
"παῖ","voc sg mas"
"ἀγοραί","voc pl fem"
"θεέ","voc sg mas"
"ἡγεμών","nom sg mas"
"δίκαι","voc pl fem"
"νεανίας","acc pl mas"
"ἡγεμόνων","gen pl mas"
"κῆρυξ","voc sg mas"
"φίλοις","dat pl mas"
"ἀγοράς","acc pl fem"
"πατρίδες","voc pl fem"
"ἵππους","acc pl mas"
"Ἑλλάδος","gen sg fem"
"στρατιώτῃ","dat sg mas"
"πολίτα","voc sg mas"
"Ἕλληνες","voc pl mas"
"χεῖρες","voc pl fem"
"χείρ","voc sg fem"
"δίκην","acc sg fem"
"ὁδοῦ","gen sg fem"
"στρατηγός","nom sg mas"
"νυκτί","dat sg fem"
"φύλαξ","voc sg mas"
"πολῖταις","dat pl mas"
"Πέρσας","acc pl mas"
"πατέρας","acc pl mas"
"χερσί(ν)","dat pl fem"
"νυκτός","gen sg fem"
"πατρί","dat sg mas"
"πατρός","gen sg mas"
"δώροις","dat pl neu"
"ὀνομάτων","gen pl neu"
"πόδα","acc sg mas"
"Ἑλλάδων","gen pl fem"
"ξένους","acc pl mas"
"κωμῶν","gen pl fem"
"Περσῶν","gen pl mas"
"θεοῦ","gen sg mas"
"οἰκίᾳ","dat sg fem"
"κώμη","voc sg fem"
"Ἑλλάδι","dat sg fem"
"πατρίσι","dat pl fem"
"πολίτῃ","dat sg mas"
"Ἕλληνων","gen pl mas"
"χεῖρας","acc pl fem"
"ὁδούς","acc pl fem"
"Πέρσην","acc sg mas"
"ὕδατος","gen sg neu"
"πυρός","gen sg neu"
"πατρίδων","gen pl fem"
"τιμῶν","gen pl fem"
"θεῶν","gen pl fem; gen pl mas"
"Πέρσαις","dat pl mas"
"πολίτην","acc sg mas"
"κῆρυκες","voc pl mas"
"ὁδοῖς","dat pl fem"
"νύκτας","acc pl fem"
"κήρυκι","dat sg mas"
"δικῶν","gen pl fem"
"ἀνθρώποις","dat pl mas"
"γυναιξί(ν)","dat pl fem"
"θεαῖς","dat pl fem"
"στρατιώτης","nom sg mas"
"στρατιώτας","acc pl mas"
"οἰκία","voc sg fem"
"φύλακος","gen sg mas"
"χρόνε","voc sg mas"
"χρόνον","acc sg mas"
"οἰκίαν","acc sg fem"
"στρατηγοῦ","gen sg mas"
"λόγῳ","dat sg mas"
"στρατηγῷ","dat sg mas"
"χρόνοις","dat pl mas"
"ξένος","nom sg mas"
"τιμάς","acc pl fem"
"ἄνδρες","voc pl mas"
"ἡγεμόνες","voc pl mas"
"ἡμέρᾳ","dat sg fem"
"θανάτῳ","dat sg mas"
"ἀρχήν","acc sg fem"
"ποταμούς","acc pl mas"
"ἵππος","nom sg mas"
"θαλάττῃ","dat sg fem"
"θάνατε","voc sg mas"
"ὁδέ","voc sg fem"
"ἡγεμόνα","acc sg mas"
"χρόνῳ","dat sg mas"
"τιμῇ","dat sg fem"
"ὅπλῳ","dat sg neu"
"χεῖρα","acc sg fem"
"γύναι","voc sg fem"
"πόδας","acc pl mas"
"κάμηλοι","voc pl mas"
"φίλων","gen pl mas"
"δώρων","gen pl neu"
"ὀνόματα","voc pl neu"
"χώραν","acc sg fem"
"ἔργου","gen sg neu"
"κήρυξ","nom sg mas"
"ἵππου","gen sg mas"
"ἀδελφέ","voc sg mas"
"ποδῶν","gen pl mas"
"ὀνόματος","gen sg neu"
"κάμηλον","acc sg mas"
"ἡμέρα","voc sg fem"
"ἀνθρώπων","gen pl mas"
"ἡγεμῶν","voc sg mas"
"φίλοι","voc pl mas"
"χρόνων","gen pl mas"
"δώρου","gen sg neu"
"πολῖται","voc pl mas"
"Ἕλλησι(ν)","dat pl mas"
"χώρα","nom sg fem"
"Πέρσου","gen sg mas"
"ἀδελφούς","acc pl mas"
"θεά","voc sg fem"
"ἀδελφός","nom sg mas"
"ἀρχάς","acc pl fem"
"βίε","voc sg mas"
"βαρβάροις","dat pl mas"
"ὅπλον","voc sg neu"
"θεοί","voc pl mas"
"ἄνθρωπος","nom sg mas"
"βίῳ","dat sg mas"
"ὅπλων","gen pl neu"
"ποδί","dat sg mas"
"κῶμαι","voc pl fem"
"καμήλους","acc pl mas"
"νύξ","voc sg fem"
"θανάτου","gen sg mas"
"ἡμέραις","dat pl fem"
"ξένου","gen sg mas"
"ἀνθρώπου","gen sg mas"
"κάμηλος","nom sg mas"
"ποιητής","nom sg mas"
"πολιτῶν","gen pl mas"
"παίδων","gen pl mas"
"πατρίδος","gen sg fem"
"νεανίαι","voc pl mas"
"βάρβαρον","acc sg mas"
"γυνή","nom sg fem"
"ἔργων","gen pl neu"
"ὕδατι","dat sg neu"
"θεούς","acc pl mas"
"στρατηγοῖς","dat pl mas"
"ἀνδρός","gen sg mas"
"μητέρας","acc pl fem"
"παῖδες","voc pl mas"
"θανάτων","gen pl mas"
"ποσί(ν)","dat pl mas"
"πράγματα","voc pl neu"
"θαλάττης","gen sg fem"
"ἄρχον","voc sg mas"
"παιδός","gen sg mas"
"ὅπλου","gen sg neu"
"ἡμέραι","voc pl fem"
"φίλος","nom sg mas"
"ἀρχῇ","dat sg fem"
"πατρίδι","dat sg fem"
"χειρός","gen sg fem"
"βαρβάρων","gen pl mas"
"ἀνθρώπῳ","dat sg mas"
"ἀρχῶν","gen pl fem"
"θάλαττας","acc pl fem"
"στάδια","voc pl neu"
"γυναικῶν","gen pl fem"
"οἰκίαι","voc pl fem"
"ἡγεμόνι","dat sg mas"
"λόγοι","voc pl mas"
"νεανίᾳ","dat sg mas"
"στρατιωτῶν","gen pl mas"
"μητρός","gen sg fem"
"στρατιῶτα","voc sg mas"
"πατράσι(ν)","dat pl mas"
"Ἀθήναις","dat pl fem"
"λόγε","voc sg mas"
"ἀδελφοῦ","gen sg mas"
"σταδίῳ","dat sg neu"
"Πέρσα","voc sg mas"
"οἰκίαις","dat pl fem"
"λόγοις","dat pl mas"
"στρατιῶται","voc pl mas"
"χρόνου","gen sg mas"
"καμήλων","gen pl mas"
"κάμηλε","voc sg mas"
"ἀγορᾷ","dat sg fem"
"γυναῖκες","voc pl fem"
"ἄρχων","nom sg mas"
"ἡμερῶν","gen pl fem"
"οἰκιῶν","gen pl fem"
"πραγμάτων","gen pl neu"
"πρᾶγμα","voc sg neu"
"ποταμοί","voc pl mas"
"φύλακι","dat sg mas"
"βίος","nom sg mas"
"θάλαττα","voc sg fem"
"στρατιῶταις","dat pl mas"
"πάτερ","voc sg mas"
"παῖς","nom sg mas"
"βάρβαροι","voc pl mas"
"ἄρχοντι","dat sg mas"
"σταδίων","gen pl neu"
"ἀδελφῶν","gen pl mas"
"τέκνῳ","dat sg neu"
"πατέρων","gen pl mas"
"τέκνου","gen sg neu"
"ἀγοραῖς","dat pl fem"
"κήρυκος","gen sg mas"
"λόγον","acc sg mas"
"ἔργον","voc sg neu"
"πράγματος","gen sg neu"
"ὁδός","nom sg fem"
"ἀρχή","voc sg fem"
"Ἕλλην","voc sg mas"
"κώμας","acc pl fem"
"ξένοι","voc pl mas"
"νύκτες","voc pl fem"
"στρατηγῶν","gen pl mas"
"Πέρσῃ","dat sg mas"
"πατρίς","voc sg fem"
"πολίτας","acc pl mas"
"νυκτῶν","gen pl fem"
"λόγου","gen sg mas"
"θανάτους","acc pl mas"
"ἄρχοντες","voc pl mas"
"χειρί","dat sg fem"
"Ἕλληνος","gen sg mas"
"ποταμοῦ","gen sg mas"
"ἀδελφοί","voc pl mas"
"βίοι","voc pl mas"
"ξένοις","dat pl mas"
"ἀρχαῖς","dat pl fem"
"ὅπλοις","dat pl neu"
"μητράσι(ν)","dat pl fem"
"στάδιον","voc sg neu"
"στρατιώτου","gen sg mas"
"ἀδελφοῖς","dat pl mas"
"δώρῳ","dat sg neu"
"πολίτου","gen sg mas"
"ἀνδρί","dat sg mas"
"κήρυξι","dat pl mas"
"ξένε","voc sg mas"
"ὅπλα","voc pl neu"
"κῶμαις","dat pl fem"
"τιμαῖς","dat pl fem"
"ἀρχαί","voc pl fem"
"λόγων","gen pl mas"
"στρατηγοί","voc pl mas"
"θεάν","acc sg fem"
"κηρύκων","gen pl mas"
"Ἀθήνας","acc pl fem"
"ἀγοράν","acc sg fem"
"πατέρα","acc sg mas"
"Πέρσαι","voc pl mas"
"σταδίοις","dat pl neu"
"γυναικί","dat sg fem"
"θαλάτταις","dat pl fem"
"βίοις","dat pl mas"
"νύκτα","acc sg fem"
"ἀνήρ","nom sg mas"
"ὀνόμασιν","dat pl neu"
"χώρας","acc pl fem"
"πυρσί(ν)","dat pl neu"
"φίλον","acc sg mas"
"στρατηγέ","voc sg mas"
"ποταμῶν","gen pl mas"
"ὁδόν","acc sg fem"
"λόγους","acc pl mas"
"ὀνόματι","dat sg neu"
"τιμῆς","gen sg fem"
"βίων","gen pl mas"
"ἄνθρωπε","voc sg mas"
"πῦρ","voc sg neu"
"Ἑλλάδα","acc sg fem"
"νεανία","voc sg mas"
"θεοῖς","dat pl mas"
"ἀγορᾶς","gen sg fem"
"Ἀθηνῶν","gen pl fem"
"ποταμέ","voc sg mas"
"μητρί","dat sg fem"
"ἔργοις","dat pl neu"
"ἀγορῶν","gen pl fem"
"ἡγεμόνος","gen sg mas"
"ἀνδράσι(ν)","dat pl mas"
"χειρῶν","gen pl fem"
"ἄρχοντας","acc pl mas"
"κηρύκας","acc pl mas"
"ποιητῇ","dat sg mas"
"ποταμοῖς","dat pl mas"
"φύλακες","voc pl mas"
"πούς","nom sg mas"
"θεός","nom sg mas"
"ἀδελφόν","acc sg mas"
"ἀρχῆς","gen sg fem"
"γυναῖκας","acc pl fem"
"θεῷ","dat sg mas"
"θάνατον","acc sg mas"
"τέκνων","gen pl neu"
"ποιητά","voc sg mas"
"καμήλου","gen sg mas"
"χῶρα","voc sg fem"
"ποιητάς","acc pl mas"
"μητέρες","voc pl fem"
"πατέρες","voc pl mas"
"ποιηταῖς","dat pl mas"
"ὄνομα","voc sg neu"
"καμήλῳ","dat sg mas"
"παισί(ν)","dat pl mas"
"νεανίαις","dat pl mas"
"ἔργα","voc pl neu"
"Ἑλλάσι","dat pl fem"
"στρατιώτην","acc sg mas"
"ποταμόν","acc sg mas"
"θεάς","acc pl fem"
"θάνατοι","voc pl mas"
"στρατηγούς","acc pl mas"
"ποιητήν","acc sg mas"
"Ἑλλάδας","acc pl fem"
"θάνατος","nom sg mas"
"μῆτερ","voc sg fem"
"ἀγορά","voc sg fem"
"πολίτης","nom sg mas"