form,case-number-gender
ἡ ἀγορά,nominative; singular; feminine
τῆς ἀγορᾶς,genitive; singular; feminine
τῇ ἀγορᾷ,dative; singular; feminine
τὴν ἀγοράν,accusative; singular; feminine
ἀγορά,vocative; singular; feminine
αἱ ἀγοραί,nominative; plural; feminine
τῶν ἀγορῶν,genitive; plural; feminine
ταῖς ἀγοραῖς,dative; plural; feminine
τὰς ἀγοράς,accusative; plural; feminine
ἀγοραί,vocative; plural; feminine
ὁ ἄνθρωπος,nominative; singular; masculine
τοῦ ἀνθρώπου,genitive; singular; masculine
τῷ ἀνθρώπῳ,dative; singular; masculine
τὸν ἄνθρωπον,accusative; singular; masculine
ἄνθρωπε,vocative; singular; masculine
οἱ ἄνθρωποι,nominative; plural; masculine
τῶν ἀνθρώπων,genitive; plural; masculine
τοῖς ἀνθρώποις,dative; plural; masculine
τοὺς ἀνθρώπους,accusative; plural; masculine
ἄνθρωποι,vocative; plural; masculine
τὸ δῶρον,nominative; singular; neuter
τοῦ δώρου,genitive; singular; neuter
τῷ δώρῳ,dative; singular; neuter
τὸ δῶρον,accusative; singular; neuter
δῶρον,vocative; singular; neuter
τὰ δῶρα,nominative; plural; neuter
τῶν δώρων,genitive; plural; neuter
τοῖς δώροις,dative; plural; neuter
τὰ δῶρα,accusative; plural; neuter
δῶρα,vocative; plural; neuter
τὸ ἔργον,nominative; singular; neuter
τοῦ ἔργου,genitive; singular; neuter
τῷ ἔργῳ,dative; singular; neuter
τὸ ἔργον,accusative; singular; neuter
ἔργον,vocative; singular; neuter
τὰ ἔργα,nominative; plural; neuter
τῶν ἔργων,genitive; plural; neuter
τοῖς ἔργοις,dative; plural; neuter
τὰ ἔργα,accusative; plural; neuter
ἔργα,vocative; plural; neuter
ἡ θάλαττα,nominative; singular; feminine
τῆς θαλάττης,genitive; singular; feminine
τῇ θαλάττῃ,dative; singular; feminine
τὴν θάλατταν,accusative; singular; feminine
θάλαττα,vocative; singular; feminine
αἱ θάλατται,nominative; plural; feminine
τῶν θαλαττῶν,genitive; plural; feminine
ταῖς θαλάτταις,dative; plural; feminine
τὰς θάλαττας,accusative; plural; feminine
θάλατται,vocative; plural; feminine
ἡ θεά,nominative; singular; feminine
τῆς θεᾶς,genitive; singular; feminine
τῇ θεᾷ,dative; singular; feminine
τὴν θεάν,accusative; singular; feminine
θεά,vocative; singular; feminine
αἱ θεαί,nominative; plural; feminine
τῶν θεῶν,genitive; plural; feminine
ταῖς θεαῖς,dative; plural; feminine
τὰς θεάς,accusative; plural; feminine
θεαί,vocative; plural; feminine
ὁ θεός,nominative; singular; masculine
τοῦ θεοῦ,genitive; singular; masculine
τῷ θεῷ,dative; singular; masculine
τὸν θεόν,accusative; singular; masculine
θεέ,vocative; singular; masculine
οἱ θεοί,nominative; plural; masculine
τῶν θεῶν,genitive; plural; masculine
τοῖς θεοῖς,dative; plural; masculine
τοὺς θεούς,accusative; plural; masculine
θεοί,vocative; plural; masculine
ὁ ἵππος,nominative; singular; masculine
τοῦ ἵππου,genitive; singular; masculine
τῷ ἵππῳ,dative; singular; masculine
τὸν ἵππον,accusative; singular; masculine
ἵππε,vocative; singular; masculine
οἱ ἵπποι,nominative; plural; masculine
τῶν ἵππων,genitive; plural; masculine
τοῖς ἵπποις,dative; plural; masculine
τοὺς ἵππους,accusative; plural; masculine
ἵπποι,vocative; plural; masculine
ἡ κώμη,nominative; singular; feminine
τῆς κώμης,genitive; singular; feminine
τῇ κώμῃ,dative; singular; feminine
τὴν κώμην,accusative; singular; feminine
κώμη,vocative; singular; feminine
αἱ κῶμαι,nominative; plural; feminine
τῶν κωμῶν,genitive; plural; feminine
ταῖς κῶμαις,dative; plural; feminine
τὰς κώμας,accusative; plural; feminine
κῶμαι,vocative; plural; feminine
ὁ ξένος,nominative; singular; masculine
τοῦ ξένου,genitive; singular; masculine
τῷ ξένῳ,dative; singular; masculine
τὸν ξένον,accusative; singular; masculine
ξένε,vocative; singular; masculine
οἱ ξένοι,nominative; plural; masculine
τῶν ξένων,genitive; plural; masculine
τοῖς ξένοις,dative; plural; masculine
τοὺς ξένους,accusative; plural; masculine
ξένοι,vocative; plural; masculine
ἡ οἰκία,nominative; singular; feminine
τῆς οἰκίας,genitive; singular; feminine
τῇ οἰκίᾳ,dative; singular; feminine
τὴν οἰκίαν,accusative; singular; feminine
οἰκία,vocative; singular; feminine
αἱ οἰκίαι,nominative; plural; feminine
τῶν οἰκιῶν,genitive; plural; feminine
ταῖς οἰκίαις,dative; plural; feminine
τὰς οἰκίας,accusative; plural; feminine
οἰκίαι,vocative; plural; feminine
ἡ τιμή,nominative; singular; feminine
τῆς τιμῆς,genitive; singular; feminine
τῇ τιμῇ,dative; singular; feminine
τὴν τιμήν,accusative; singular; feminine
τιμή,vocative; singular; feminine
αἱ τιμαί,nominative; plural; feminine
τῶν τιμῶν,genitive; plural; feminine
ταῖς τιμαῖς,dative; plural; feminine
τὰς τιμάς,accusative; plural; feminine
τιμαί,vocative; plural; feminine
ὁ φίλος,nominative; singular; masculine
τοῦ φίλου,genitive; singular; masculine
τῷ φίλῳ,dative; singular; masculine
τὸν φίλον,accusative; singular; masculine
φίλε,vocative; singular; masculine
οἱ φίλοι,nominative; plural; masculine
τῶν φίλων,genitive; plural; masculine
τοῖς φίλοις,dative; plural; masculine
τοὺς φίλους,accusative; plural; masculine
φίλοι,vocative; plural; masculine
ὁ ἀδελφός,nominative; singular; masculine
τοῦ ἀδελφοῦ,genitive; singular; masculine
τῷ ἀδελφῷ,dative; singular; masculine
τὸν ἀδελφόν,accusative; singular; masculine
ἀδελφέ,vocative; singular; masculine
οἱ ἀδελφοί,nominative; plural; masculine
τῶν ἀδελφῶν,genitive; plural; masculine
τοῖς ἀδελφοῖς,dative; plural; masculine
τοὺς ἀδελφούς,accusative; plural; masculine
ἀδελφοί,vocative; plural; masculine
ὁ βάρβαρος,nominative; singular; masculine
τοῦ βαρβάρου,genitive; singular; masculine
τῷ βαρβάρῳ,dative; singular; masculine
τὸν βάρβαρον,accusative; singular; masculine
βάρβαρε,vocative; singular; masculine
οἱ βάρβαροι,nominative; plural; masculine
τῶν βαρβάρων,genitive; plural; masculine
τοῖς βαρβάροις,dative; plural; masculine
τοὺς βαρβάρους,accusative; plural; masculine
βάρβαροι,vocative; plural; masculine